key,ru,en
app.title,Это Офис,This Is the Office
menu.new_game,Новая игра,New Game
menu.continue,Продолжить,Continue
menu.settings,Настройки,Settings
menu.quit,Выйти,Quit
menu.language,Язык,Language
menu.difficulty,Сложность,Difficulty
menu.seed,Сид,Seed
menu.start,Начать,Start
menu.back,Назад,Back
hud.day,День,Day
hud.of,из,of
hud.money,Бюджет,Budget
hud.target,Цель,Target
hud.dispatch,Диспетчерская,Dispatch
hud.personnel,Кадры,Personnel
hud.investigations,Расследования,Investigations
hud.economy,Экономика,Economy
hud.end_day,Закончить день,End Day
common.ok,ОК,OK
common.cancel,Отмена,Cancel
common.yes,Да,Yes
common.no,Нет,No
faction.meridian.name,Меридиан,Meridian
faction.meridian.agenda,Старый отдел, держит контракты десятилетиями,The old department, holds the contracts for decades
faction.vertex.name,Вертекс,Vertex
faction.vertex.agenda,Агрессивный новичок, рвётся к influence,The aggressive newcomer, clawing for influence
scenario.day1.intro,CTO дал тебе 180 дней до реструктуризации. Набери цель по прибыли.,The CTO gave you 180 days until restructuring. Hit the profit target.
scenario.day4.intro,Утечка в пользу конкурента. Нужны траблшутеры.,A leak to a rival. Troubleshooters needed.
scenario.day8.intro,День оценки. Ответы имеют последствия.,Review day. Answers have consequences.
scenario.day12.intro,Война отделов близко. Выбери сторону.,The department war is near. Pick a side.
scenario.day13.intro,Отделы пошли в атаку. Завод дымит.,The departments are at each other. The office reels.
scenario.day15.intro,HR спускает квоту на разнообразие.,HR hands down a diversity quota.
scenario.day30.intro,Новый инцидент саботажа. Доска заполняется.,A new sabotage incident. The board fills up.
scenario.day60.intro,Середина срока. Деньги тают.,Midpoint. Money is thinning.
scenario.day90.intro,Корпоративный шпионаж. Ставки выросли.,Corporate espionage. The stakes climbed.
scenario.day120.intro,Финальная прямая видна.,The home stretch is in sight.
scenario.day170.intro,Финальный релиз. Поставь всё на карту.,The final launch. Go all in.
scenario.day180.intro,Реструктуризация. Подбиваем итог.,Restructuring. Settling accounts.
incident.leak_meridian.title,Утечка в Меридиан,Leak to Meridian
incident.sabotage_vertex.title,Саботаж Вертекса,Sabotage by Vertex
incident.espionage.title,Корпоративный шпионаж,Corporate Espionage
contract.freelance.title,Фриланс-подработка,Freelance gig
contract.freelance.desc,Быстрый контракт на сторону. Усталость растёт.,A quick side contract. Fatigue rises.
contract.rival_tip.title,Наводка конкуренту,Tip to a rival
contract.rival_tip.desc,Продать инсайд. Лояльность команды падает.,Sell an insider tip. Team loyalty drops.
contract.overtime.title,Сверхурочные,Overtime
contract.overtime.desc,Гонять команду допоздна. Дёшево и сердито.,Run the team late. Cheap and grim.
economy.title,Экономика,Economy
economy.budget,Бюджет,Budget
economy.target,Цель по прибыли,Profit target
economy.daily_salaries,Зарплаты/день,Salaries/day
economy.contracts,Побочные контракты,Side contracts
economy.day_summary,Итоги дня,Day summary
economy.end,Закрыть,Close
narrative.faction_choice.prompt,Война отделов началась. С кем ты?,The department war has begun. Whose side are you on?
narrative.faction_choice.meridian,Встать с Меридианом,Side with Meridian
narrative.faction_choice.vertex,Встать с Вертексом,Side with Vertex
ending.allied,Твой союзник:,Your ally:
ending.target_hit.allied,Реструктуризация пережита. Союзник прикрыл, цель взята.,Restructuring survived. Your ally covered you; the target was hit.
ending.target_hit.solo,Реструктуризация пережита. Цель взята в одиночку.,Restructuring survived. The target was hit alone.
ending.target_missed.allied,Союзник не спас. Цель провалена.,Your ally could not save you. The target was missed.
ending.target_missed.solo,Цель провалена. Один доллар и рукопожатие.,The target was missed. A dollar and a handshake.
choice.continue,Далее,Continue
choice.begin,Приступить,Begin
choice.to_ending,К финалу,To the ending
cutscene.skip,Пропустить,Skip
speaker.cto,CTO,CTO
speaker.manager,Менеджер (ты),Manager (you)
speaker.narrator, , 
speaker.hr,HR,HR
speaker.meridian,Меридиан,Meridian
speaker.vertex,Вертекс,Vertex
act1.title,Акт I — Новый менеджер,Act I — The New Manager
act2.title,Акт II — Война отделов,Act II — The Department War
act3.title,Акт III — Финальная прямая,Act III — The Home Stretch
chapter.arrival.title,Прибытие,Arrival
chapter.first_incident.title,Первые инциденты,First Incidents
chapter.review.title,Оценка,Review
chapter.faction_choice.title,Выбор стороны,Picking a Side
chapter.war.title,Война,The War
chapter.quotas.title,Квоты,Quotas
chapter.escalation.title,Эскалация,Escalation
chapter.sabotage.title,Саботаж,Sabotage
chapter.espionage.title,Шпионаж,Espionage
chapter.launch.title,Запуск,The Launch
chapter.restructuring.title,Реструктуризация,Restructuring
cutscene.intro_act1.node1,180 дней. Столько у тебя до реструктуризации. Набери $500k прибыли — или тебя смоет.,180 days. That's how long until restructuring. Bank $500k of profit — or you're gone.
cutscene.intro_act1.node2,Команда унаследована. Кто-то толковый, кто-то — балласт. Конкуренты уже роют землю.,The team is inherited. Some sharp, some dead weight. The rivals are already circling.
cutscene.intro_act1.node3,Ладно. Раз они хотят цифр — они их получат.,Fine. If they want numbers, they'll get numbers.
cutscene.faction.intro,На утреннем стендапе двое приходят одновременно — представители Меридиана и Вертекса.,At the morning standup, two arrive at once — reps from Meridian and Vertex.
cutscene.faction.pick,Война отделов началась. Один из них станет твоим щитом. Другой — ножом.,The department war has begun. One of them will be your shield. The other, your knife.
cutscene.faction.meridian,Встать с Меридианом,Side with Meridian
cutscene.faction.vertex,Встать с Вертексом,Side with Vertex
cutscene.faction.meridian_reply,Меридиан ценит стабильность. Контракты пойдут к тебе — пока ты полезен.,Meridian values stability. The contracts will flow your way — as long as you're useful.
cutscene.faction.vertex_reply,Вертекс играет жёстко. Ты получишь инсайд и прикрытие — и долги в придачу.,Vertex plays rough. You'll get the inside line and cover — and debts to match.
cutscene.quotas.intro,HR спускает меморандум: квота на разнообразие. К концу месяца — иначе.,HR drops a memorandum: a diversity quota. By month's end — or else.
cutscene.quotas.pick,Можно выполнить ценой части команды. Или саботировать, прикрываясь бюрократией.,You can comply, costing you part of the team. Or sabotage it, hiding behind red tape.
cutscene.quotas.comply,Выполнить квоту,Comply with the quota
cutscene.quotas.sabotage,Саботировать,Sabotage it
cutscene.quotas.comply_reply,Ты увольняешь неугодных HR. Команда замечает.,You let go of those HR flagged. The team notices.
cutscene.quotas.sabotage_reply,Ты топишь квоту в комиссиях и пересмотрах. Это стоит денег, но люди остаются.,You drown the quota in committees and reviews. It costs money, but the people stay.
cutscene.act2.node1,Конкуренты перестали стучаться. Теперь они выбивают двери.,The rivals have stopped knocking. Now they're kicking doors in.
cutscene.act2.node2,CTO вызывает тебя: мне нужны результаты. Любой ценой.,The CTO summons you: I need results. At any cost.
cutscene.finale.node1,День реструктуризации. Суммируем.,Restructuring day. Let's settle the accounts.
cutscene.finale.node2,Цифры на столе. Ты знаешь, заслужил ли ты свой выход.,The numbers are on the table. You know whether you've earned your way out.
incident.bribe_offer.title,Предложение взятки,Bribe Offer
incident.data_heist.title,Кража данных,Data Heist
